Title,Date,URL,Website
Alcaldes de zonas rurales proponen implementar un plan nacional de seguridad rural para combatir la delincuencia,05/04/2024,https://www.adnradio.cl/2024/04/05/alcaldes-de-zonas-rurales-proponen-implementar-un-plan-nacional-de-seguridad-rural-para-combatir-la-delincuencia/,ADNRadio
Uno de los abogados de Cathy Barriga renuncia a su defensa por diferencias con la exalcaldesa,02/02/2024,https://www.adnradio.cl/2024/02/02/uno-de-los-abogados-de-cathy-barriga-renuncia-a-su-defensa-por-diferencias-con-la-exalcaldesa/,ADNRadio
“Una incomprensión”: CDE responde cuestionamientos de la comisión investigadora por Caso Convenios,06/12/2023,https://www.adnradio.cl/2023/12/06/una-incomprension-cde-responde-cuestionamientos-de-la-comision-investigadora-por-caso-convenios/,ADNRadio
CDE defenderá ante el TC los indultos otorgados por el Presidente Boric,07/03/2023,https://www.adnradio.cl/nacional/2023/03/07/cde-defendera-ante-el-tc-los-indultos-otorgados-por-el-presidente-boric.html,ADNRadio
Javiera Blanco aseguró que se «inhabilitará» como consejera «en los casos que correspondan»,02/03/2017,https://www.adnradio.cl/nacional/2017/03/02/javiera-blanco-aseguro-que-se-inhabilitara-como-consejera-en-los-casos-que-correspondan-3398148.html,ADNRadio
Senado aprueba reajuste salarial para funcionarios del sector público: propuesta vuelve a la Cámara de Diputados,17/12/2024,https://www.adnradio.cl/2024/12/17/senado-aprueba-reajuste-salarial-para-funcionarios-del-sector-publico-propuesta-vuelve-a-la-camara-de-diputados/,ADNRadio
"Caso Audios: Fiscalía detalla esquema que habrían usado imputados para cometer lavado de activos, cohecho y otros delitos tributarios",21/08/2024,https://www.adnradio.cl/2024/08/21/caso-audios-fiscalia-detalla-esquema-que-habrian-usado-imputados-para-cometer-lavado-de-activos-cohecho-y-otros-delitos-tributarios/,ADNRadio
"¿Qué letras, de qué porte, dónde van?: ministro de Transportes explica el reglamento sobre el grabado de patentes",08/05/2024,https://www.adnradio.cl/2024/05/08/que-letras-de-que-porte-donde-van-ministro-de-transportes-explica-el-reglamento-sobre-el-grabado-de-patentes/,ADNRadio
Corte de Santiago acoge amparo y ordena resolver situación de internos con enfermedades psiquiátricas,22/04/2024,https://www.adnradio.cl/2024/04/22/corte-de-santiago-acoge-amparo-y-ordena-resolver-situacion-de-internos-con-enfermedades-psiquiatricas/,ADNRadio
Presidente corporativo de Everton: “Hemos tomado como nuestro el desafío de ayudar a la gente afectada por los incendios”,07/02/2024,https://www.adnradio.cl/2024/02/07/presidente-corporativo-de-everton-hemos-tomado-como-nuestro-el-desafio-de-ayudar-a-la-gente-afectada-por-los-incendios/,ADNRadio
